,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
572,Caol Ila 12 Year Old,43,70,46.95
573,Ardbeg 10 Year Old,46,70,45.95
574,Port Charlotte 10 Year Old,50,70,52.75
575,Laphroaig 10 Year Old,40,70,39.95
576,Talisker 2011 Distillers Edition,45.8,70,62.75
577,Kilchoman Machir Bay,46,70,41.95
578,Laphroaig 10 Year Old,58.6,70,73.95
579,Laphroaig 10 Year Old Sherry Oak Finish,48,70,59.95
580,Octomore 10.3,61.3,70,172
581,Laphroaig Lore,48,70,67.95
582,Lagavulin 10 Year Old,43,70,79.95
583,Bowmore 12 Year Old,40,70,35.95
584,Lagavulin 8 Year Old,48,70,59.95
585,Bunnahabhain Stiuireadair,46.3,70,38.45
586,Br6 - Elements of Islay,50.4,50,94.95
